Facility_ID,City,State,County,Total_Admissions,ReadmissionRate,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_1,H_Comp_2,H_Comp_3,H_Comp_5,H_Comp_6,H_Comp_7,H_Comp_Cl,H_Comp_Qt,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT
340010,GOLDSBORO,NC,Wayne,1083,16.0,0.92,0.281,0.841,0.717,0.310811,0.21906,0.11549000000000001,2.328684,1.336965,5.540693,4.198276,4.135982,0.815967,1.254525,0.9190299999999999,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.09787626962142197,0.29270544783010155,0.5124653739612188,0.20960295475530932,0.4727608494921514,192,4,very high,58,95,40371.0,123131.0,37.7
340013,RUTHERFORDTON,NC,Rutherford,328,14.9,0.984,4.075,,0.0,0.721403,0.220788,0.10723599999999998,2.466197,1.410504,4.62596,2.9312110000000002,5.321651999999999,0.8482209999999999,1.464993,1.014312,2.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,,0.3597560975609756,0.551829268292683,0.3384146341463415,0.5670731707317073,159,2,medium,74,87,34319.666666666664,67029.0,45.6
340014,WINSTON-SALEM,NC,Forsyth,2879,15.8,0.719,1.053,0.48,0.314,0.225402,0.200493,0.09538200000000001,2.955936,1.185167,4.215292,2.7817790000000002,4.482532,0.913985,1.445898,0.799333,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0.1736714136853074,0.21465786731503994,0.3105244876693296,0.29906217436609933,0.394928794720389,185,2,very high,30,96,49038.666666666664,382295.0,38.5
340015,SALISBURY,NC,Rowan,709,16.5,1.148,1.641,0.395,0.066,0.23329299999999997,0.212088,0.092646,2.501058,1.353054,4.597686,3.845832,4.805848,0.833828,1.018572,0.8752059999999999,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,0.13399153737658676,0.2820874471086037,0.36812411847672777,0.2552891396332863,0.5994358251057827,156,2,high,78,96,40925.333333333336,142088.0,40.9
340016,SYLVA,NC,Jackson,394,14.9,0.0,0.672,,0.866,0.285494,0.221275,0.093923,2.433591,1.4027399999999999,5.526455,4.388048,6.9847649999999994,0.8381850000000001,1.45784,1.075843,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,,0.43147208121827413,0.2715736040609137,0.36548223350253806,0.6065989847715736,129,,,74,73,35753.0,43938.0,38.4
340017,HENDERSONVILLE,NC,Henderson,1041,14.8,4.87,0.297,0.911,0.435,0.695854,0.26416799999999996,0.090412,2.1416310000000003,1.2984229999999999,5.008675,3.263713,4.618651,0.8075180000000001,0.920968,0.97508,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0.08645533141210375,0.12680115273775217,0.2747358309317964,0.6724303554274735,0.37848222862632086,194,2,medium,67,92,45563.666666666664,117417.0,48.0
340020,SANFORD,NC,Lee,367,15.9,0.922,0.0,,0.461,0.27919,0.219914,0.09421,2.4410529999999997,1.7029880000000002,5.954418,4.2000839999999995,,0.8450840000000001,1.108375,1.034071,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,0.4822888283378747,0.7166212534059946,,0.5967302452316077,142,,,62,81,42727.666666666664,61779.0,39.3
340021,SHELBY,NC,Cleveland,1061,15.3,1.72,0.713,0.935,0.511,0.161012,0.196604,0.091878,2.399869,1.328229,8.419367,3.557871,4.611296,0.823468,0.9747290000000001,0.940003,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.03298774740810556,0.3072573044297832,0.4759660697455231,0.19792648444863337,0.5023562676720076,104,1,very high,39,90,39131.666666666664,97947.0,41.8
340023,HENDERSONVILLE,NC,Henderson,398,15.2,,1.933,,0.0,0.329494,0.21931900000000001,0.094056,2.861106,1.382966,5.869661,3.128482,4.342586,0.8370780000000001,1.0644879999999999,0.89175,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,,0.11557788944723618,0.30402010050251255,0.6809045226130653,0.5703517587939698,159,,,59,75,45563.666666666664,117417.0,48.0
340024,CLINTON,NC,Sampson,301,15.8,,0.0,,1.442,0.386938,0.22401500000000002,0.094308,2.502743,1.42045,4.881626,3.2841910000000003,5.48672,0.8547600000000001,1.140733,0.943233,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,,0.36212624584717606,0.5913621262458472,0.17940199335548174,0.8538205980066446,132,3,medium,51,86,35953.0,63531.0,40.3
340027,KINSTON,NC,Lenoir,586,15.8,0.501,0.0,0.719,1.006,0.227377,0.20695500000000003,0.09306,2.384642,,,3.464948,,0.831413,1.021299,0.870175,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,0.13139931740614336,0.3412969283276451,0.9948805460750854,,0.6023890784982935,168,3,high,52,98,41545.333333333336,55949.0,42.7
340028,FAYETTEVILLE,NC,Cumberland,2711,17.0,1.47,0.952,0.833,0.589,1.9930080000000001,0.211681,0.083201,2.278205,1.136611,3.847685,2.4297880000000003,5.304691,0.9221219999999999,0.708909,1.278409,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.14865363334562892,0.23755071929177426,0.4016967908520841,0.11545555145702693,0.36923644411656215,211,4,very high,53,97,40236.666666666664,335509.0,31.6
340030,DURHAM,NC,Durham,3261,15.5,0.888,0.708,0.615,0.836,0.576278,0.24369000000000002,0.089904,1.886983,1.3230959999999998,2.640508,6.387415,3.9117059999999997,0.9105209999999999,1.3264690000000001,1.004627,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,0.14044771542471635,0.0619441888991107,0.30818767249310025,0.20791168353265868,0.17172646427476235,,,,69,98,51664.333333333336,321488.0,35.8
340032,GASTONIA,NC,Union,1947,15.5,0.201,0.249,0.628,0.121,0.331043,0.220698,0.099255,1.9676740000000001,1.8901709999999998,3.7020980000000003,2.565257,4.503413,0.810621,0.79379,0.809951,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,0.14278376990241398,0.24242424242424243,0.47817154596815614,0.2655367231638418,0.4771443246019517,178,3,very high,68,95,54609.666666666664,239859.0,38.9
340039,STATESVILLE,NC,Iredell,877,15.8,1.505,0.0,0.75,1.017,0.232415,0.242358,0.11714400000000001,2.2612349999999997,1.312605,5.9417230000000005,4.373424,5.380259,0.8347110000000001,1.016829,0.975672,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.07867730900798175,0.37400228050171036,0.3124287343215507,0.27366020524515394,0.6282782212086659,136,1,medium,54,96,53609.666666666664,181806.0,41.0
340040,GREENVILLE,NC,Pitt,3981,15.2,1.457,1.527,0.866,0.395,1.649963,0.404098,0.10883499999999999,2.409524,0.993128,4.140865,3.570729,4.783714,1.426333,1.380544,1.280045,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,0.24566691785983422,0.12207987942727958,0.43556895252449135,0.19768902285857826,0.2155237377543331,249,3,very high,37,99,43071.333333333336,180742.0,33.1
