ReadmissionRate,Facility_ID,City,State,County,Total_Admissions,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT,County_Facilities,Pop/Hosp
15.3,10164,SYLACAUGA,AL,Talladega,209,,0.0,,0.0,0.375624,0.223867,0.094662,2.47603,1.414577,4.558981,4.3929300000000016,4.740609,0.854683,1.104637,0.948913,4.0,,0.3588516746411483,0.5119617224880383,0.1674641148325359,0.6602870813397129,102.0,1.0,2.0,24.0,89.0,36098.0,79978.0,41.4,1,79978.0
15.2,10168,PHENIX CITY,AL,Russell,429,,,,0.73,0.446914,0.223362,0.092413,2.294032,1.351468,2.970504,2.937313,4.537035,0.8567799999999999,1.16722,0.827145,5.0,,0.06526806526806526,0.060606060606060615,,0.060606060606060615,114.0,4.0,1.0,,84.0,34197.333333333336,57961.0,37.2,1,57961.0
14.5,20001,ANCHORAGE,AK,Anchorage,1335,0.539,0.851,0.5529999999999999,0.608,0.818217,0.16434,0.099887,2.708353,1.003959,4.560301,3.8911,4.9266,0.944007,1.948862,1.056516,4.0,0.2943820224719101,0.16179775280898875,0.31161048689138576,0.20749063670411985,0.21872659176029965,188.0,2.0,4.0,53.0,63.0,68736.0,288000.0,34.4,3,96000.0
15.1,20006,PALMER,AK,Matanuska-Susitna,529,0.0,0.0,,0.121,0.246149,0.217175,0.093846,3.032053,1.349675,5.580836,3.416465,6.3817629999999985,1.133241,1.320794,0.989987,3.0,0.15122873345935728,0.18147448015122875,0.22117202268431,0.2362948960302457,0.5614366729678639,137.0,1.0,2.0,57.0,57.0,48596.33333333334,108317.0,36.0,1,108317.0
15.4,20012,FAIRBANKS,AK,Fairbanks North Star,305,,1.383,,0.425,1.910147,0.330018,0.094302,2.612592,1.390233,4.321719,3.855266,4.396245,0.832044,1.7229259999999995,1.372759,4.0,0.21311475409836064,0.26885245901639343,0.3704918032786885,0.6065573770491803,0.34098360655737703,150.0,0.0,2.0,17.0,93.0,59445.33333333334,96849.0,31.9,1,96849.0
14.2,20017,ANCHORAGE,AK,Anchorage,911,0.8959999999999999,0.841,0.0,0.376,0.398194,0.200464,0.090552,2.425925,1.222323,4.817228,2.152757,4.475688,0.812549,1.415533,0.823484,3.0,0.15477497255762898,0.07683863885839738,0.1690450054884742,0.7442371020856202,0.20856201975850716,120.0,1.0,2.0,76.0,57.0,68736.0,288000.0,34.4,3,96000.0
15.9,20024,SOLDOTNA,AK,Kenai Peninsula,314,,,,0.251,0.361526,0.223259,0.094114,2.398517,1.391979,5.146706,5.419387,4.447413,0.833607,1.448374,1.010273,3.0,,0.3535031847133758,0.3598726114649681,0.5159235668789809,0.3789808917197453,134.0,1.0,1.0,71.0,56.0,54046.66666666666,58708.0,41.1,1,58708.0
15.5,20026,ANCHORAGE,AK,Anchorage,520,0.0,1.3330000000000002,0.0,0.557,2.162046,0.247252,0.11858,3.788321,1.347489,8.187476,4.346499,6.671242,0.961929,1.827255,1.719454,3.0,0.08846153846153848,0.2576923076923077,0.2326923076923077,0.19230769230769232,0.3346153846153846,123.0,1.0,4.0,76.0,94.0,68736.0,288000.0,34.4,3,96000.0
15.2,30002,PHOENIX,AZ,Maricopa,1288,0.9670000000000001,0.248,0.772,0.46399999999999997,0.484395,0.258152,0.08816900000000001,2.059714,1.486789,7.188764,3.280642,6.7944580000000006,0.7626029999999999,0.954123,1.102553,3.0,0.14285714285714285,0.08229813664596274,0.22826086956521735,0.04192546583850932,0.15993788819875776,239.0,5.0,4.0,44.0,93.0,50263.33333333334,4485414.0,36.9,27,166126.44444444444
14.7,30006,TUCSON,AZ,Pima,2415,0.784,1.2990000000000002,1.188,0.597,0.729175,0.21862,0.107399,2.442569,1.314876,3.847605,3.562388,3.087814,1.03001,0.659493,0.882318,3.0,0.1308488612836439,0.11718426501035195,0.27494824016563146,0.3846790890269151,0.2062111801242236,266.0,,0.0,45.0,94.0,45375.0,1047279.0,39.1,8,130909.875
